Sample name,title,source name,organism,characteristics: age,characteristics: developmental stage,characteristics: sex,molecule,description,processed data file ,raw file,BioSample,Instrument Model
A16_384Bulk_Plate2_S16,Tabula Muris Senis (bulk RNA seq),Pancreas_49,Mus musculus C57/BL6,12,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127268,SAMN11854586,Illumina NovaSeq 6000
A17_384Bulk_Plate1_S17,Tabula Muris Senis (bulk RNA seq),Small_Intestine_22,Mus musculus C57/BL6,18,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127267,SAMN11854587,Illumina NovaSeq 6000
A17_384Bulk_Plate2_S17,Tabula Muris Senis (bulk RNA seq),Small_Intestine_40,Mus musculus C57/BL6,12,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127074,SAMN11854588,Illumina NovaSeq 6000
A18_384Bulk_Plate1_S18,Tabula Muris Senis (bulk RNA seq),Brain_20,Mus musculus C57/BL6,21,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127073,SAMN11854589,Illumina NovaSeq 6000
A18_384Bulk_Plate2_S18,Tabula Muris Senis (bulk RNA seq),Limb_Muscle_18,Mus musculus C57/BL6,6,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127072,SAMN11854590,Illumina NovaSeq 6000
A19_384Bulk_Plate1_S19,Tabula Muris Senis (bulk RNA seq),WBC_30,Mus musculus C57/BL6,12,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127071,SAMN11854591,Illumina NovaSeq 6000
A19_384Bulk_Plate2_S19,Tabula Muris Senis (bulk RNA seq),Heart_8,Mus musculus C57/BL6,1,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127070,SAMN11854592,Illumina NovaSeq 6000
A2_384Bulk_Plate1_S2,Tabula Muris Senis (bulk RNA seq),MAT_52,Mus musculus C57/BL6,15,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127069,SAMN11854593,Illumina NovaSeq 6000
A2_384Bulk_Plate2_S2,Tabula Muris Senis (bulk RNA seq),MAT_2,Mus musculus C57/BL6,9,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127270,SAMN11854594,Illumina NovaSeq 6000
A2_384Bulk_Plate3_S2,Tabula Muris Senis (bulk RNA seq),BAT_34,Mus musculus C57/BL6,27,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127269,SAMN11854595,Illumina NovaSeq 6000
A20_384Bulk_Plate1_S20,Tabula Muris Senis (bulk RNA seq),Lung_39,Mus musculus C57/BL6,3,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127500,SAMN11854596,Illumina NovaSeq 6000
A20_384Bulk_Plate2_S20,Tabula Muris Senis (bulk RNA seq),Brain_39,Mus musculus C57/BL6,12,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127501,SAMN11854597,Illumina NovaSeq 6000
A21_384Bulk_Plate1_S21,Tabula Muris Senis (bulk RNA seq),MAT_4,Mus musculus C57/BL6,1,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127502,SAMN11854598,Illumina NovaSeq 6000
A21_384Bulk_Plate2_S21,Tabula Muris Senis (bulk RNA seq),Liver_46,Mus musculus C57/BL6,6,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127503,SAMN11854599,Illumina NovaSeq 6000
A22_384Bulk_Plate1_S22,Tabula Muris Senis (bulk RNA seq),Spleen_50,Mus musculus C57/BL6,12,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127504,SAMN11854600,Illumina NovaSeq 6000
A22_384Bulk_Plate2_S22,Tabula Muris Senis (bulk RNA seq),Liver_37,Mus musculus C57/BL6,1,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127505,SAMN11854601,Illumina NovaSeq 6000
A23_384Bulk_Plate1_S23,Tabula Muris Senis (bulk RNA seq),WBC_22,Mus musculus C57/BL6,12,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127506,SAMN11854602,Illumina NovaSeq 6000
A23_384Bulk_Plate2_S23,Tabula Muris Senis (bulk RNA seq),MAT_42,Mus musculus C57/BL6,1,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127507,SAMN11854603,Illumina NovaSeq 6000
A3_384Bulk_Plate1_S3,Tabula Muris Senis (bulk RNA seq),Spleen_30,Mus musculus C57/BL6,3,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127508,SAMN11854604,Illumina NovaSeq 6000
A3_384Bulk_Plate2_S3,Tabula Muris Senis (bulk RNA seq),Lung_11,Mus musculus C57/BL6,18,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127509,SAMN11854605,Illumina NovaSeq 6000
A3_384Bulk_Plate3_S3,Tabula Muris Senis (bulk RNA seq),Skin_39,Mus musculus C57/BL6,9,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127251,SAMN11854606,Illumina NovaSeq 6000
A4_384Bulk_Plate1_S4,Tabula Muris Senis (bulk RNA seq),Marrow_22,Mus musculus C57/BL6,12,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127250,SAMN11854607,Illumina NovaSeq 6000
A4_384Bulk_Plate2_S4,Tabula Muris Senis (bulk RNA seq),GAT_2,Mus musculus C57/BL6,12,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127253,SAMN11854608,Illumina NovaSeq 6000
A4_384Bulk_Plate3_S4,Tabula Muris Senis (bulk RNA seq),BAT_43,Mus musculus C57/BL6,21,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127252,SAMN11854609,Illumina NovaSeq 6000
A5_384Bulk_Plate1_S5,Tabula Muris Senis (bulk RNA seq),GAT_8,Mus musculus C57/BL6,1,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127255,SAMN11854610,Illumina NovaSeq 6000
A5_384Bulk_Plate2_S5,Tabula Muris Senis (bulk RNA seq),Kidney_45,Mus musculus C57/BL6,9,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127254,SAMN11854611,Illumina NovaSeq 6000
A5_384Bulk_Plate3_S5,Tabula Muris Senis (bulk RNA seq),Brain_29,Mus musculus C57/BL6,27,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127257,SAMN11854612,Illumina NovaSeq 6000
A6_384Bulk_Plate1_S6,Tabula Muris Senis (bulk RNA seq),Liver_8,Mus musculus C57/BL6,3,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127256,SAMN11854613,Illumina NovaSeq 6000
A6_384Bulk_Plate2_S6,Tabula Muris Senis (bulk RNA seq),Pancreas_19,Mus musculus C57/BL6,27,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127259,SAMN11854614,Illumina NovaSeq 6000
A6_384Bulk_Plate3_S6,Tabula Muris Senis (bulk RNA seq),Small_Intestine_51,Mus musculus C57/BL6,9,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127258,SAMN11854615,Illumina NovaSeq 6000
A7_384Bulk_Plate1_S7,Tabula Muris Senis (bulk RNA seq),Lung_10,Mus musculus C57/BL6,18,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127052,SAMN11854616,Illumina NovaSeq 6000
A7_384Bulk_Plate2_S7,Tabula Muris Senis (bulk RNA seq),Lung_22,Mus musculus C57/BL6,21,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127053,SAMN11854617,Illumina NovaSeq 6000
A7_384Bulk_Plate3_S7,Tabula Muris Senis (bulk RNA seq),Liver_14,Mus musculus C57/BL6,3,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127050,SAMN11854618,Illumina NovaSeq 6000
A8_384Bulk_Plate1_S8,Tabula Muris Senis (bulk RNA seq),Bone_45,Mus musculus C57/BL6,15,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127051,SAMN11854619,Illumina NovaSeq 6000
A8_384Bulk_Plate2_S8,Tabula Muris Senis (bulk RNA seq),Liver_9,Mus musculus C57/BL6,15,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127056,SAMN11854620,Illumina NovaSeq 6000
A8_384Bulk_Plate3_S8,Tabula Muris Senis (bulk RNA seq),Pancreas_37,Mus musculus C57/BL6,12,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127057,SAMN11854621,Illumina NovaSeq 6000
A9_384Bulk_Plate1_S9,Tabula Muris Senis (bulk RNA seq),Brain_4,Mus musculus C57/BL6,3,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127054,SAMN11854622,Illumina NovaSeq 6000
A9_384Bulk_Plate2_S9,Tabula Muris Senis (bulk RNA seq),Brain_5,Mus musculus C57/BL6,9,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127055,SAMN11854623,Illumina NovaSeq 6000
A9_384Bulk_Plate3_S9,Tabula Muris Senis (bulk RNA seq),MAT_6,Mus musculus C57/BL6,18,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127059,SAMN11854624,Illumina NovaSeq 6000
B1_384Bulk_Plate1_S25,Tabula Muris Senis (bulk RNA seq),Spleen_21,Mus musculus C57/BL6,21,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127060,SAMN11854625,Illumina NovaSeq 6000
B1_384Bulk_Plate2_S25,Tabula Muris Senis (bulk RNA seq),WBC_52,Mus musculus C57/BL6,21,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126799,SAMN11854626,Illumina NovaSeq 6000
B1_384Bulk_Plate3_S25,Tabula Muris Senis (bulk RNA seq),Spleen_20,Mus musculus C57/BL6,9,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126798,SAMN11854627,Illumina NovaSeq 6000
B10_384Bulk_Plate1_S34,Tabula Muris Senis (bulk RNA seq),BAT_3,Mus musculus C57/BL6,15,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126797,SAMN11854628,Illumina NovaSeq 6000
B10_384Bulk_Plate2_S34,Tabula Muris Senis (bulk RNA seq),Pancreas_10,Mus musculus C57/BL6,3,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126796,SAMN11854629,Illumina NovaSeq 6000
B10_384Bulk_Plate3_S34,Tabula Muris Senis (bulk RNA seq),Marrow_5,Mus musculus C57/BL6,12,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126803,SAMN11854630,Illumina NovaSeq 6000
B11_384Bulk_Plate1_S35,Tabula Muris Senis (bulk RNA seq),Brain_24,Mus musculus C57/BL6,9,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126802,SAMN11854631,Illumina NovaSeq 6000
B11_384Bulk_Plate2_S35,Tabula Muris Senis (bulk RNA seq),Skin_23,Mus musculus C57/BL6,1,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126801,SAMN11854632,Illumina NovaSeq 6000
B11_384Bulk_Plate3_S35,Tabula Muris Senis (bulk RNA seq),SCAT_37,Mus musculus C57/BL6,6,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126800,SAMN11854633,Illumina NovaSeq 6000
B12_384Bulk_Plate1_S36,Tabula Muris Senis (bulk RNA seq),Pancreas_46,Mus musculus C57/BL6,3,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126795,SAMN11854634,Illumina NovaSeq 6000
B12_384Bulk_Plate2_S36,Tabula Muris Senis (bulk RNA seq),Brain_40,Mus musculus C57/BL6,6,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126794,SAMN11854635,Illumina NovaSeq 6000
B12_384Bulk_Plate3_S36,Tabula Muris Senis (bulk RNA seq),Brain_17,Mus musculus C57/BL6,3,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126849,SAMN11854636,Illumina NovaSeq 6000
B13_384Bulk_Plate1_S37,Tabula Muris Senis (bulk RNA seq),Bone_36,Mus musculus C57/BL6,6,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126850,SAMN11854637,Illumina NovaSeq 6000
B13_384Bulk_Plate2_S37,Tabula Muris Senis (bulk RNA seq),Marrow_8,Mus musculus C57/BL6,6,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126851,SAMN11854638,Illumina NovaSeq 6000
B13_384Bulk_Plate3_S37,Tabula Muris Senis (bulk RNA seq),Pancreas_9,Mus musculus C57/BL6,24,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126852,SAMN11854639,Illumina NovaSeq 6000
B14_384Bulk_Plate1_S38,Tabula Muris Senis (bulk RNA seq),Kidney_38,Mus musculus C57/BL6,21,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126845,SAMN11854640,Illumina NovaSeq 6000
B14_384Bulk_Plate2_S38,Tabula Muris Senis (bulk RNA seq),Limb_Muscle_5,Mus musculus C57/BL6,6,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127265,SAMN11854641,Illumina NovaSeq 6000
B14_384Bulk_Plate3_S38,Tabula Muris Senis (bulk RNA seq),NA1,Mus musculus C57/BL6,NA1,months postnatal,missing,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126847,SAMN11854642,Illumina NovaSeq 6000
B15_384Bulk_Plate1_S39,Tabula Muris Senis (bulk RNA seq),Limb_Muscle_3,Mus musculus C57/BL6,12,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126848,SAMN11854643,Illumina NovaSeq 6000
B15_384Bulk_Plate2_S39,Tabula Muris Senis (bulk RNA seq),Marrow_20,Mus musculus C57/BL6,24,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126853,SAMN11854644,Illumina NovaSeq 6000
B16_384Bulk_Plate1_S40,Tabula Muris Senis (bulk RNA seq),Spleen_5,Mus musculus C57/BL6,12,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126854,SAMN11854645,Illumina NovaSeq 6000
B16_384Bulk_Plate2_S40,Tabula Muris Senis (bulk RNA seq),GAT_15,Mus musculus C57/BL6,12,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127580,SAMN11854646,Illumina NovaSeq 6000
B17_384Bulk_Plate1_S41,Tabula Muris Senis (bulk RNA seq),MAT_55,Mus musculus C57/BL6,6,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127579,SAMN11854647,Illumina NovaSeq 6000
B17_384Bulk_Plate2_S41,Tabula Muris Senis (bulk RNA seq),Kidney_44,Mus musculus C57/BL6,1,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127582,SAMN11854648,Illumina NovaSeq 6000
B18_384Bulk_Plate1_S42,Tabula Muris Senis (bulk RNA seq),SCAT_12,Mus musculus C57/BL6,3,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127581,SAMN11854649,Illumina NovaSeq 6000
B18_384Bulk_Plate2_S42,Tabula Muris Senis (bulk RNA seq),BAT_32,Mus musculus C57/BL6,9,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127576,SAMN11854650,Illumina NovaSeq 6000
B19_384Bulk_Plate1_S43,Tabula Muris Senis (bulk RNA seq),Brain_6,Mus musculus C57/BL6,9,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127575,SAMN11854651,Illumina NovaSeq 6000
B19_384Bulk_Plate2_S43,Tabula Muris Senis (bulk RNA seq),Limb_Muscle_27,Mus musculus C57/BL6,27,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127578,SAMN11854652,Illumina NovaSeq 6000
B2_384Bulk_Plate1_S26,Tabula Muris Senis (bulk RNA seq),MAT_13,Mus musculus C57/BL6,1,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127577,SAMN11854653,Illumina NovaSeq 6000
B2_384Bulk_Plate2_S26,Tabula Muris Senis (bulk RNA seq),Limb_Muscle_48,Mus musculus C57/BL6,9,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127584,SAMN11854654,Illumina NovaSeq 6000
B2_384Bulk_Plate3_S26,Tabula Muris Senis (bulk RNA seq),WBC_6,Mus musculus C57/BL6,18,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127583,SAMN11854655,Illumina NovaSeq 6000
B20_384Bulk_Plate1_S44,Tabula Muris Senis (bulk RNA seq),Marrow_54,Mus musculus C57/BL6,24,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127133,SAMN11854656,Illumina NovaSeq 6000
B20_384Bulk_Plate2_S44,Tabula Muris Senis (bulk RNA seq),Heart_47,Mus musculus C57/BL6,9,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127134,SAMN11854657,Illumina NovaSeq 6000
B21_384Bulk_Plate1_S45,Tabula Muris Senis (bulk RNA seq),Pancreas_53,Mus musculus C57/BL6,18,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127131,SAMN11854658,Illumina NovaSeq 6000
B21_384Bulk_Plate2_S45,Tabula Muris Senis (bulk RNA seq),MAT_50,Mus musculus C57/BL6,15,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127132,SAMN11854659,Illumina NovaSeq 6000
B22_384Bulk_Plate1_S46,Tabula Muris Senis (bulk RNA seq),Kidney_52,Mus musculus C57/BL6,6,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127129,SAMN11854660,Illumina NovaSeq 6000
B22_384Bulk_Plate2_S46,Tabula Muris Senis (bulk RNA seq),Heart_42,Mus musculus C57/BL6,1,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127130,SAMN11854661,Illumina NovaSeq 6000
